BUCHUNGSKREIS;BELEGNUMER;GESCHEAFTSJAHR;BUCHUNGSZEIILE;AUSGLEICHDATUM;BUCHUNGSSCHUESSEL;SOLL/HABEN-KENNZSICHEN;BETRAG;WAEHRUNGSART
AA    ;1400000000;2014;1;08.05.2014;1;S;113807.81;EUR
AA    ;1400000001;2014;1;05.05.2014;1;S;127822.5;EUR
AA    ;1400000002;2014;2;05.05.2014;15;H;127822.5;EUR
AA    ;1400000003;2014;1;07.05.2014;1;S;38561.83;EUR
AA    ;1400000004;2014;2;07.05.2014;15;H;38561.83;EUR
AA    ;1400000005;2014;2;08.05.2014;15;H;113807.81;EUR
AA    ;1400000006;2014;1;13.05.2014;1;S;108288.87;EUR
AA    ;1400000007;2014;2;13.05.2014;15;H;108288.87;EUR
AA    ;1400000008;2014;1;05.06.2014;1;S;340834.78;EUR 
AA    ;1400000009;2014;2;05.06.2014;15;H;340834.78;EUR
AA    ;1400000010;2014;1;10.06.2014;1;S;352928.16;EUR
AA    ;1400000011;2014;2;10.06.2014;15;H;352928.16;EUR    
AA    ;1400000012;2014;1;16.06.2014;1;S;201335.24;EUR    
AA    ;1400000013;2014;1;16.06.2014;1;S;282116.37;EUR    
AA    ;1400000014;2014;1;16.06.2014;1;S;435186.22;EUR    
AA    ;1400000015;2014;2;16.06.2014;15;H;201335.24;EUR    
AA    ;1400000016;2014;2;16.06.2014;15;H;282116.37;EUR    
AA    ;1400000017;2014;2;16.06.2014;15;H;435186.22;EUR    
AA    ;1400000018;2014;1;24.06.2014;1;S;410131.7;EUR    
AA    ;1400000019;2014;2;24.06.2014;15;H;410131.7;EUR    
AA    ;1400000020;2014;1;30.06.2014;1;S;331094.48;EUR   
AA    ;1400000021;2014;1;30.06.2014;1;S;284185.99;EUR    
AA    ;1400000022;2014;1;30.06.2014;1;S;370514.03;EUR    
AA    ;1400000023;2014;2;30.06.2014;15;H;370514.03;EUR    
AA    ;1400000024;2014;2;30.06.2014;15;H;331094.48;EUR    
AA    ;1400000025;2014;2;30.06.2014;15;H;284185.99;EUR    
